pep0	pep0	100.000	15	0	0	1	15	1	15	3.02e-06	30.0
pep0	pep263	100.000	13	0	0	3	15	1	13	1.71e-05	28.1
pep0	pep264	100.000	13	0	0	3	15	1	13	1.75e-05	28.1
pep0	pep143	100.000	14	0	0	1	14	11	24	2.83e-05	27.3
pep0	pep86	84.615	13	2	0	3	15	1	13	0.001	23.5
pep0	pep144	78.571	14	3	0	1	14	11	24	0.009	21.2
pep1	pep1	100.000	16	0	0	1	16	1	16	7.11e-06	28.9
pep1	pep1014	100.000	9	0	0	5	13	1	9	0.069	18.9
pep2	pep2	100.000	6	0	0	1	6	1	6	4.9	14.2
pep3	pep3	100.000	40	0	0	1	40	1	40	3.32e-27	84.3
pep3	pep1075	44.444	18	10	0	13	30	1	18	0.002	24.3
pep3	pep1196	83.333	6	1	0	13	18	1	6	0.96	17.3
pep4	pep4	100.000	10	0	0	1	10	1	10	0.002	22.3
pep4	pep31	90.000	10	1	0	1	10	1	10	0.005	21.2
pep5	pep5	100.000	11	0	0	1	11	1	11	0.001	23.1
pep6	pep6	100.000	11	0	0	1	11	1	11	6.07e-04	23.9
pep6	pep1384	83.333	6	1	0	6	11	15	20	4.7	14.2
pep7	pep7	100.000	7	0	0	1	7	1	7	1.6	15.0
pep7	pep75	100.000	6	0	0	2	7	1	6	8.3	13.9
pep8	pep8	100.000	16	0	0	1	16	1	16	5.39e-07	32.0
pep9	pep9	100.000	8	0	0	1	8	1	8	0.21	16.9
pep9	pep94	100.000	7	0	0	2	8	1	7	0.57	15.4
pep9	pep95	100.000	7	0	0	2	8	1	7	0.62	15.4
pep9	pep981	100.000	6	0	0	3	8	1	6	4.2	14.2
pep10	pep10	100.000	23	0	0	1	23	1	23	2.64e-12	45.8
pep10	pep1022	100.000	21	0	0	3	23	1	21	1.73e-11	43.5
pep10	pep653	45.455	11	6	0	6	16	441	451	2.1	15.8
pep10	pep654	45.455	11	6	0	6	16	441	451	3.2	15.4
pep10	pep655	45.455	11	6	0	6	16	441	451	3.2	15.4
pep11	pep11	100.000	18	0	0	1	18	1	18	7.69e-09	36.6
pep12	pep12	100.000	6	0	0	1	6	1	6	8.8	13.9
pep13	pep13	100.000	14	0	0	1	14	1	14	5.21e-07	32.0
pep13	pep17	85.714	14	2	0	1	14	1	14	3.30e-06	29.6
pep13	pep129	85.714	14	2	0	1	14	1	14	9.37e-06	28.5
pep14	pep14	100.000	15	0	0	1	15	1	15	1.90e-07	33.1
pep14	pep349	71.429	7	2	0	6	12	10	16	3.7	14.6
pep14	pep350	71.429	7	2	0	6	12	10	16	4.7	14.6
pep15	pep16	100.000	16	0	0	1	16	1	16	3.27e-08	35.0
pep15	pep15	100.000	16	0	0	1	16	1	16	3.88e-08	34.7
pep15	pep480	50.000	16	8	0	1	16	1	16	0.007	21.2
pep16	pep16	100.000	21	0	0	1	21	1	21	1.88e-11	43.5
pep16	pep15	100.000	16	0	0	1	16	1	16	4.29e-08	35.0
pep16	pep480	45.000	20	11	0	1	20	1	20	0.008	21.6
pep17	pep17	100.000	14	0	0	1	14	1	14	2.40e-07	32.7
pep17	pep13	85.714	14	2	0	1	14	1	14	3.30e-06	29.6
pep17	pep129	78.571	14	3	0	1	14	1	14	1.14e-05	28.5
pep17	pep378	66.667	6	2	0	7	12	4	9	9.5	13.9
pep18	pep18	100.000	8	0	0	1	8	1	8	0.027	19.2
pep18	pep156	100.000	7	0	0	2	8	1	7	0.082	18.1
pep19	pep19	100.000	8	0	0	1	8	1	8	0.086	18.1
pep20	pep20	100.000	13	0	0	1	13	1	13	1.05e-05	28.5
pep20	pep1285	100.000	10	0	0	4	13	1	10	3.63e-04	24.3
pep21	pep21	100.000	19	0	0	1	19	1	19	7.99e-10	39.3
pep21	pep851	50.000	8	4	0	12	19	13	20	3.1	15.0
pep21	pep723	83.333	6	1	0	13	18	6	11	9.0	14.2
pep22	pep22	100.000	10	0	0	1	10	1	10	0.001	23.1
pep23	pep23	100.000	12	0	0	1	12	1	12	7.67e-05	26.2
pep23	pep1040	91.667	12	1	0	1	12	4	15	1.52e-04	25.4
pep24	pep24	100.000	12	0	0	1	12	1	12	1.41e-04	25.4
pep24	pep1068	54.545	11	5	0	1	11	4	14	6.6	13.9
pep25	pep25	100.000	20	0	0	1	20	1	20	2.18e-10	40.8
pep25	pep1002	50.000	12	6	0	8	19	2	13	4.3	14.6
pep26	pep26	100.000	30	0	0	1	30	1	30	1.23e-17	59.7
pep26	pep1071	60.000	10	4	0	21	30	2	11	0.95	16.5
pep27	pep27	100.000	14	0	0	1	14	1	14	3.41e-06	29.6
pep27	pep369	88.889	9	1	0	4	12	1	9	0.092	18.5
pep27	pep490	46.154	13	7	0	2	14	10	22	0.57	16.2
pep27	pep1372	62.500	8	3	0	3	10	6	13	9.6	13.9
pep28	pep28	100.000	17	0	0	1	17	1	17	4.01e-08	34.7
pep28	pep529	66.667	6	2	0	6	11	354	359	8.2	14.2
pep28	pep528	66.667	6	2	0	6	11	354	359	8.2	14.2
pep28	pep567	66.667	6	2	0	6	11	23	28	8.3	14.2
pep29	pep29	100.000	20	0	0	1	20	1	20	6.52e-11	42.0
pep30	pep30	100.000	15	0	0	1	15	1	15	5.73e-06	29.3
pep30	pep1339	83.333	6	1	0	10	15	15	20	6.4	14.2
pep31	pep31	100.000	15	0	0	1	15	1	15	1.49e-07	33.1
pep31	pep4	90.000	10	1	0	1	10	1	10	0.008	21.2
pep32	pep32	100.000	7	0	0	1	7	1	7	0.32	16.2
pep33	pep33	100.000	15	0	0	1	15	1	15	5.85e-06	29.3
pep33	pep716	100.000	10	0	0	6	15	1	10	0.005	21.6
pep34	pep34	100.000	15	0	0	1	15	1	15	2.93e-07	32.3
pep35	pep35	100.000	20	0	0	1	20	1	20	1.75e-11	43.5
pep35	pep822	85.000	20	3	0	1	20	1	20	2.18e-10	40.8
pep35	pep1079	80.000	20	4	0	1	20	2	21	1.81e-09	38.5
pep35	pep824	80.000	20	4	0	1	20	1	20	1.93e-09	38.1
pep35	pep821	80.000	20	4	0	1	20	1	20	3.19e-09	37.7
